id,abbr,state,depression,smokes,obese,unemployment,poverty,uninsured
1,AL,Alabama,21.3,21.1,33.5,8.6,51.5,12.1
2,AK,Alaska,15.6,19.9,29.7,7.6,31.5,17.2
3,AZ,Arizona,18.7,16.5,28.9,7.9,36.2,13.6
4,AR,Arkansas,21.5,24.7,35.9,6.8,53.6,11.8
5,CA,California,13.3,12.9,24.7,8.5,37.7,12.4
6,CO,Colorado,17,15.7,21.3,5.5,36.4,10.3
7,CT,Connecticut,18.3,15.4,26.3,7.9,32.7,6.9
8,DE,Delaware,18.3,19.9,30.7,6.7,26.7,7.8
9,DC,District of Columbia,18.1,16.4,21.7,8.9,32.9,5.3
10,FL,Florida,16.2,17.7,26.2,8,42.7,16.6
11,GA,Georgia,18.3,17.4,30.5,8.3,46.1,15.8
12,HI,Hawaii,10.7,14.1,22.1,5.4,31.5,5.3
13,ID,Idaho,19.5,15.9,28.9,5.5,47.5,13.6
14,IL,Illinois,16.7,16.5,29.3,8.1,45.5,9.7
15,IN,Indiana,20.7,22.9,32.7,7.1,56.5,11.9
16,IA,Iowa,18.7,18.5,30.9,4.4,45.7,6.2
17,KS,Kansas,18.6,18.1,31.3,5.2,41.5,10.2
18,KY,Kentucky,23.9,26.2,31.6,7.6,58.2,8.5
19,LA,Louisiana,18.7,24,34.9,7.5,49,14.8
20,ME,Maine,23.7,19.3,28.2,5.9,54.7,10.1
21,MD,Maryland,15.9,14.6,29.6,7.2,29.3,7.9
22,MA,Massachusetts,21.7,14.7,23.3,6.7,37.8,3.3
23,MI,Michigan,20.5,21.2,30.7,8.3,51.8,8.5
24,MN,Minnesota,18.2,16.3,27.6,4.7,47.6,5.9
25,MS,Mississippi,19.9,23,35.5,9.8,48.8,14.5
26,MO,Missouri,21.7,20.6,30.2,6.8,50.6,11.7
27,MT,Montana,20.4,19.9,26.4,4.9,47.7,14.2
28,NE,Nebraska,17.7,17.3,30.2,4.2,52.6,9.7
29,NV,Nevada,15.6,17,27.7,8.9,36.8,15.2
30,NH,New Hampshire,21,17.5,27.4,5.1,46.9,9.2
31,NJ,New Jersey,13.4,15.1,26.9,7.5,37,10.9
32,NM,New Mexico,21.1,19.2,28.4,8.7,54.4,14.5
33,NY,New York,15.9,14.4,27,7.3,36.8,8.7
34,NC,North Carolina,19,19.1,29.7,8.3,49.4,13.1
35,ND,North Dakota,17.3,19.9,32.2,3,51.2,7.9
36,OH,Ohio,20.9,21,32.6,7.2,54,8.4
37,OK,Oklahoma,21.8,21.1,33,5.7,54.2,15.4
38,OR,Oregon,24,17,27.9,7.8,48,9.7
39,PA,Pennsylvania,19.7,19.9,30.2,7,46.3,8.5
40,RI,Rhode Island,20.6,16.3,27,7.8,51.6,7.4
41,SC,South Carolina,19.9,21.5,32.1,8.1,54.5,13.6
42,SD,South Dakota,16.6,18.6,29.8,3.9,44.6,9.8
43,TN,Tennessee,21.4,24.2,31.2,7.8,56.3,12
44,TX,Texas,14.6,14.5,31.9,6.1,45.8,19.1
45,UT,Utah,20.7,9.7,25.7,5,49.6,12.5
46,VT,Vermont,21.8,16.4,24.8,5.5,53.4,5
47,VA,Virginia,17.4,19.5,28.5,6.1,43.9,10.9
48,WA,Washington,21.6,15.3,27.3,6.5,40.2,9.2
49,WV,West Virginia,23.6,26.7,35.7,6.9,68.3,8.6
50,WI,Wisconsin,17,17.4,31.2,5.3,52.4,7.3
51,WY,Wyoming,19,19.5,29.5,4.3,36.5,12
52,PR,Puerto Rico,18.5,11.3,28.3,18.5,75.4,6.1