Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2014,AL,Alabama,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,490",21.1,19.8,22.5,"2,702",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,01,BO1,CAT1,_RFSMOK3,RESP046,"(32.84057112200048, -86.63186076199969)"
2014,AK,Alaska,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,749,19.9,18.2,21.6,"2,696",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,02,BO1,CAT1,_RFSMOK3,RESP046,"(64.84507995700051, -147.72205903599973)"
2014,AZ,Arizona,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,811",16.5,15.4,17.6,"2,708",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,04,BO1,CAT1,_RFSMOK3,RESP046,"(34.865970280000454, -111.76381127699972)"
2014,AR,Arkansas,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,917,24.7,22.7,26.7,"2,700",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,05,BO1,CAT1,_RFSMOK3,RESP046,"(34.74865012400045, -92.27449074299966)"
2014,CA,California,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,962,12.9,11.9,13.8,"2,708",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,06,BO1,CAT1,_RFSMOK3,RESP046,"(37.63864012300047, -120.99999953799971)"
2014,CO,Colorado,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,586",15.7,14.8,16.6,"2,705",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,08,BO1,CAT1,_RFSMOK3,RESP046,"(38.843840757000464, -106.13361092099967)"
2014,CT,Connecticut,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,897,15.4,14.2,16.7,"2,694",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,09,BO1,CAT1,_RFSMOK3,RESP046,"(41.56266102000046, -72.64984095199964)"
2014,DE,Delaware,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,655,19.9,17.9,21.8,"2,696",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,10,BO1,CAT1,_RFSMOK3,RESP046,"(39.008830667000495, -75.57774116799965)"
2014,DC,District of Columbia,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,484,16.4,14.2,18.6,"2,686",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,11,BO1,CAT1,_RFSMOK3,RESP046,"(38.89037138500049, -77.03196112699965)"
2014,FL,Florida,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,271",17.7,16.5,18.8,"2,707",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,12,BO1,CAT1,_RFSMOK3,RESP046,"(28.932040377000476, -81.92896053899966)"
2014,GA,Georgia,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,843,17.4,15.9,18.8,"2,702",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,13,BO1,CAT1,_RFSMOK3,RESP046,"(32.83968109300048, -83.62758034599966)"
2014,HI,Hawaii,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,925,14.1,13,15.3,"2,706",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,15,BO1,CAT1,_RFSMOK3,RESP046,"(21.304850435000446, -157.85774940299973)"
2014,ID,Idaho,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,753,15.9,14.4,17.4,"2,685",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,16,BO1,CAT1,_RFSMOK3,RESP046,"(43.682630005000476, -114.3637300419997)"
2014,IL,Illinois,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,651,16.5,15.1,18,"2,697",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,17,BO1,CAT1,_RFSMOK3,RESP046,"(40.48501028300046, -88.99771017799969)"
2014,IN,Indiana,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,930",22.9,21.8,24.1,"2,703",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,18,BO1,CAT1,_RFSMOK3,RESP046,"(39.766910452000445, -86.14996019399968)"
2014,IA,Iowa,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,165",18.5,17.3,19.7,"2,701",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,19,BO1,CAT1,_RFSMOK3,RESP046,"(42.46940091300047, -93.81649055599968)"
2014,KS,Kansas,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"2,036",18.1,17.2,18.9,"2,709",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,20,BO1,CAT1,_RFSMOK3,RESP046,"(38.34774030000045, -98.20078122699965)"
2014,KY,Kentucky,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"2,278",26.2,24.7,27.7,"2,704",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,21,BO1,CAT1,_RFSMOK3,RESP046,"(37.645970271000465, -84.77497104799966)"
2014,LA,Louisiana,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,319",24,22.6,25.4,"2,704",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,22,BO1,CAT1,_RFSMOK3,RESP046,"(31.31266064400046, -92.44568007099969)"
2014,ME,Maine,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,322",19.3,18.1,20.5,"2,693",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,23,BO1,CAT1,_RFSMOK3,RESP046,"(45.254228894000505, -68.98503133599962)"
2014,MD,Maryland,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,425",14.6,13.4,15.9,"2,709",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,24,BO1,CAT1,_RFSMOK3,RESP046,"(39.29058096400047, -76.60926011099963)"
2014,MA,Massachusetts,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,912",14.7,13.7,15.7,"2,709",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,25,BO1,CAT1,_RFSMOK3,RESP046,"(42.27687047000046, -72.08269067499964)"
2014,MI,Michigan,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,295",21.2,20,22.5,"2,710",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,26,BO1,CAT1,_RFSMOK3,RESP046,"(44.6613195430005, -84.71439026999968)"
2014,MN,Minnesota,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"2,311",16.3,15.6,17,"2,711",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,27,BO1,CAT1,_RFSMOK3,RESP046,"(46.35564873600049, -94.79420050299967)"
2014,MS,Mississippi,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,704,23,21,24.9,"2,676",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,28,BO1,CAT1,_RFSMOK3,RESP046,"(32.745510099000455, -89.53803082499968)"
2014,MO,Missouri,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,220",20.6,19.2,22.1,"2,703",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,29,BO1,CAT1,_RFSMOK3,RESP046,"(38.635790776000476, -92.56630005299968)"
2014,MT,Montana,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,211",19.9,18.5,21.4,"2,689",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,30,BO1,CAT1,_RFSMOK3,RESP046,"(47.06652897200047, -109.42442064499971)"
2014,NE,Nebraska,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"3,249",17.3,16.5,18.2,"2,709",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,31,BO1,CAT1,_RFSMOK3,RESP046,"(41.6410409880005, -99.36572062299967)"
2014,NV,Nevada,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,563,17,15,19,"2,699",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,32,BO1,CAT1,_RFSMOK3,RESP046,"(39.493240390000494, -117.07184056399967)"
2014,NH,New Hampshire,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,852,17.5,16,19,"2,683",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,33,BO1,CAT1,_RFSMOK3,RESP046,"(43.65595011300047, -71.50036091999965)"
2014,NJ,New Jersey,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,678",15.1,14.1,16.1,"2,707",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,34,BO1,CAT1,_RFSMOK3,RESP046,"(40.13057004800049, -74.27369128799967)"
2014,NM,New Mexico,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,322",19.2,17.7,20.6,"2,699",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,35,BO1,CAT1,_RFSMOK3,RESP046,"(34.52088095200048, -106.24058098499967)"
2014,NY,New York,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,835,14.4,13.3,15.5,"2,701",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,36,BO1,CAT1,_RFSMOK3,RESP046,"(42.82700103200045, -75.54397042699964)"
2014,NC,North Carolina,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,165",19.1,17.9,20.3,"2,704",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,37,BO1,CAT1,_RFSMOK3,RESP046,"(35.466220975000454, -79.15925046299964)"
2014,ND,North Dakota,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,163",19.9,18.4,21.5,"2,664",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,38,BO1,CAT1,_RFSMOK3,RESP046,"(47.47531977900047, -100.11842104899966)"
2014,OH,Ohio,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,834",21,19.7,22.3,"2,707",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,39,BO1,CAT1,_RFSMOK3,RESP046,"(40.06021014100048, -82.40426005599966)"
2014,OK,Oklahoma,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,427",21.1,19.9,22.3,"2,708",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,40,BO1,CAT1,_RFSMOK3,RESP046,"(35.47203135600046, -97.52107021399968)"
2014,OR,Oregon,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,667,17,15.5,18.4,"2,696",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,41,BO1,CAT1,_RFSMOK3,RESP046,"(44.56744942400047, -120.15503132599969)"
2014,PA,Pennsylvania,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,809",19.9,18.8,21.1,"2,704",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,42,BO1,CAT1,_RFSMOK3,RESP046,"(40.79373015200048, -77.86070029399963)"
2014,RI,Rhode Island,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,822,16.3,14.8,17.7,"2,692",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,44,BO1,CAT1,_RFSMOK3,RESP046,"(41.70828019300046, -71.52247031399963)"
2014,SC,South Carolina,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,829",21.5,20.4,22.7,"2,710",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,45,BO1,CAT1,_RFSMOK3,RESP046,"(33.998821303000454, -81.04537120699968)"
2014,SD,South Dakota,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,170",18.6,16.9,20.2,"2,696",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,46,BO1,CAT1,_RFSMOK3,RESP046,"(44.353130053000484, -100.3735306369997)"
2014,TN,Tennessee,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,969,24.2,22.3,26.1,"2,694",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,47,BO1,CAT1,_RFSMOK3,RESP046,"(35.68094058000048, -85.77449091399967)"
2014,TX,Texas,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,848",14.5,13.6,15.5,"2,708",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,48,BO1,CAT1,_RFSMOK3,RESP046,"(31.827240407000488, -99.42677020599967)"
2014,UT,Utah,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,213",9.7,9,10.3,"2,708",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,49,BO1,CAT1,_RFSMOK3,RESP046,"(39.360700171000474, -111.58713063499971)"
2014,VT,Vermont,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,867,16.4,15.2,17.6,"2,669",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,50,BO1,CAT1,_RFSMOK3,RESP046,"(43.62538123900049, -72.51764079099962)"
2014,VA,Virginia,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,457",19.5,18.4,20.7,"2,706",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,51,BO1,CAT1,_RFSMOK3,RESP046,"(37.54268067400045, -78.45789046299967)"
2014,WA,Washington,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,141",15.3,14.3,16.4,"2,707",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,53,BO1,CAT1,_RFSMOK3,RESP046,"(47.52227862900048, -120.47001078999972)"
2014,WV,West Virginia,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,367",26.7,25.2,28.1,"2,688",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,54,BO1,CAT1,_RFSMOK3,RESP046,"(38.66551020200046, -80.71264013499967)"
2014,WI,Wisconsin,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,013",17.4,16,18.7,"2,697",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,55,BO1,CAT1,_RFSMOK3,RESP046,"(44.39319117400049, -89.81637074199966)"
2014,WY,Wyoming,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,875,19.5,17.6,21.4,"2,696",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,56,BO1,CAT1,_RFSMOK3,RESP046,"(43.23554134300048, -108.10983035299967)"
2014,GU,Guam,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,569,29.3,26.5,32,"2,673",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,66,BO1,CAT1,_RFSMOK3,RESP046,"(13.444304, 144.793731)"
2014,PR,Puerto Rico,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,538,11.3,10.2,12.4,"2,522",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,72,BO1,CAT1,_RFSMOK3,RESP046,"(18.220833, -66.590149)"
2014,UW,All States and DC (median) **,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,51,18.1,,,"2,688",%,Crude Prevalence,**,,BRFSS,CLASS17,Topic15,98,BO1,CAT1,_RFSMOK3,RESP046,
2014,US,"All States, DC and Territories (median) **",Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,53,18.1,,,"2,689",%,Crude Prevalence,**,,BRFSS,CLASS17,Topic15,99,BO1,CAT1,_RFSMOK3,RESP046,
